sequence,total,bullish,bearish,neutral,bullish_ratio,bearish_ratio,neutral_ratio,bias
"(8, 1, 2)",39,12,1,26,0.3076923076923077,0.02564102564102564,0.6666666666666666,0.28205128205128205
"(8, 1, 8)",31,13,5,13,0.41935483870967744,0.16129032258064516,0.41935483870967744,0.25806451612903225
"(7, 6, 3)",34,7,1,26,0.20588235294117646,0.029411764705882353,0.7647058823529411,0.17647058823529413
"(6, 5, 1)",46,14,6,26,0.30434782608695654,0.13043478260869565,0.5652173913043478,0.17391304347826086
"(7, 7, 6)",37,7,2,28,0.1891891891891892,0.05405405405405406,0.7567567567567568,0.13513513513513514
"(1, 8, 1)",37,11,6,20,0.2972972972972973,0.16216216216216217,0.5405405405405406,0.13513513513513514
"(7, 6, 0)",52,9,2,41,0.17307692307692307,0.038461538461538464,0.7884615384615384,0.1346153846153846
"(7, 5, 0)",30,7,3,20,0.23333333333333334,0.1,0.6666666666666666,0.13333333333333333
"(0, 5, 0)",46,12,6,28,0.2608695652173913,0.13043478260869565,0.6086956521739131,0.13043478260869565
"(1, 1, 4)",31,7,3,21,0.22580645161290322,0.0967741935483871,0.6774193548387096,0.12903225806451613
"(0, 6, 2)",101,22,9,70,0.21782178217821782,0.0891089108910891,0.693069306930693,0.12871287128712872
"(1, 4)",104,26,14,64,0.25,0.1346153846153846,0.6153846153846154,0.11538461538461539
"(5, 0, 1)",52,11,5,36,0.21153846153846154,0.09615384615384616,0.6923076923076923,0.11538461538461539
"(0, 3, 2)",53,9,3,41,0.16981132075471697,0.05660377358490566,0.7735849056603774,0.11320754716981132
"(1, 5, 0)",71,15,7,49,0.2112676056338028,0.09859154929577464,0.6901408450704225,0.11267605633802817
"(5, 1, 2)",55,11,5,39,0.2,0.09090909090909091,0.7090909090909091,0.10909090909090909
"(0, 8, 1)",37,7,3,27,0.1891891891891892,0.08108108108108109,0.7297297297297297,0.10810810810810811
"(5, 0, 7)",37,9,5,23,0.24324324324324326,0.13513513513513514,0.6216216216216216,0.10810810810810811
"(1, 0, 5)",47,17,12,18,0.3617021276595745,0.2553191489361702,0.3829787234042553,0.10638297872340426
"(0, 0, 6)",85,20,11,54,0.23529411764705882,0.12941176470588237,0.6352941176470588,0.10588235294117647
"(9,)",143,59,44,40,0.4125874125874126,0.3076923076923077,0.27972027972027974,0.1048951048951049
"(8, 5, 1)",30,7,4,19,0.23333333333333334,0.13333333333333333,0.6333333333333333,0.1
"(5, 1, 5)",40,11,7,22,0.275,0.175,0.55,0.1
"(5, 8, 1)",30,9,6,15,0.3,0.2,0.5,0.1
"(5, 8, 5)",40,12,8,20,0.3,0.2,0.5,0.1
"(0, 3, 7)",40,2,6,32,0.05,0.15,0.8,-0.1
"(8, 5, 0)",39,5,9,25,0.1282051282051282,0.23076923076923078,0.6410256410256411,-0.10256410256410256
"(3, 7, 0)",39,3,7,29,0.07692307692307693,0.1794871794871795,0.7435897435897436,-0.10256410256410256
"(1, 5, 6)",56,9,15,32,0.16071428571428573,0.26785714285714285,0.5714285714285714,-0.10714285714285714
"(3, 8)",39,2,7,30,0.05128205128205128,0.1794871794871795,0.7692307692307693,-0.1282051282051282
"(2, 2, 6)",163,3,24,136,0.018404907975460124,0.147239263803681,0.8343558282208589,-0.12883435582822086
"(5, 5, 5)",37,8,13,16,0.21621621621621623,0.35135135135135137,0.43243243243243246,-0.13513513513513514
"(6, 0, 7)",36,3,8,25,0.08333333333333333,0.2222222222222222,0.6944444444444444,-0.1388888888888889
"(0, 3, 1)",65,4,14,47,0.06153846153846154,0.2153846153846154,0.7230769230769231,-0.15384615384615385
"(5, 0, 8)",36,5,11,20,0.1388888888888889,0.3055555555555556,0.5555555555555556,-0.16666666666666666
"(6, 6, 0)",53,3,12,38,0.05660377358490566,0.22641509433962265,0.7169811320754716,-0.16981132075471697
"(5, 8, 0)",41,4,11,26,0.0975609756097561,0.2682926829268293,0.6341463414634146,-0.17073170731707318
"(7, 6, 6)",34,2,8,24,0.058823529411764705,0.23529411764705882,0.7058823529411765,-0.17647058823529413
